x	y	label
586843.4	2289221	aqua
541555.8	2348926	aqua
572462.4	2340795	aqua
514220.8	2364737	aqua
593808.9	2301731	aqua
617026.5	2330879	aqua
630626.4	2327233	aqua
610354.1	2299753	aqua
584847.2	2290381	aqua
589679	2294072	aqua
556696.5	2324108	aqua
606190.8	2317925	aqua
596163.6	2316942	aqua
569080.5	2311060	aqua
601316	2332043	aqua
610115.7	2335523	aqua
573579.2	2280495	aqua
583067.2	2294295	aqua
618005.4	2326677	aqua
590670.1	2293381	aqua
581459.8	2294719	aqua
568484	2300463	aqua
625446.1	2330806	aqua
530967.6	2338609	aqua
628175.6	2335333	aqua
576648.4	2294373	aqua
541836.1	2344017	aqua
596180	2291098	aqua
609716.8	2292359	aqua
615514	2316667	aqua
498829	2382273	aqua
533111.7	2355479	aqua
589862	2319747	aqua
527280.9	2334998	aqua
622884.8	2324445	aqua
597194.2	2348371	aqua
571246.9	2302382	aqua
599936	2292978	aqua
565303.1	2325476	aqua
577981.4	2306415	aqua
593429.9	2333544	aqua
629528.6	2334770	aqua
630450.4	2335579	aqua
574074.6	2314656	aqua
611220.3	2323660	aqua
496444.8	2385912	aqua
569397.5	2307427	aqua
579867.8	2290529	aqua
587159.9	2327249	aqua
597728.4	2337827	aqua
588048.7	2296602	aqua
596914.9	2336017	aqua
592998.1	2309836	aqua
576710.4	2294258	aqua
529131.5	2337264	aqua
597024.3	2309318	aqua
576340.3	2335089	aqua
571872.2	2292860	aqua
583593.7	2290836	aqua
573321	2278670	aqua
611664.1	2327167	aqua
616378.6	2312422	aqua
595203.3	2308932	aqua
594300.8	2328193	aqua
519763.9	2390684	aqua
584685.6	2283139	aqua
528196.4	2360566	aqua
563615.4	2328738	aqua
543870.4	2346006	aqua
625751.8	2342086	aqua
576939.6	2350619	aqua
511254.3	2365900	aqua
562580.4	2317666	aqua
587414.2	2300506	aqua
618838.6	2343602	aqua
623415	2327090	aqua
557019.9	2335665	aqua
611074.6	2291648	aqua
594368.1	2303128	aqua
581163.5	2324753	aqua
591833.1	2312817	aqua
573826.1	2296803	aqua
597886.8	2315859	aqua
582709	2335615	aqua
586314	2305498	aqua
532716.8	2355725	aqua
626771.8	2323645	aqua
527317.7	2331844	aqua
577133.3	2300795	aqua
597051.8	2300532	aqua
580326.7	2295386	aqua
612890.8	2304604	aqua
508773.3	2377276	aqua
609101.6	2306966	aqua
556944.9	2320953	aqua
511605	2375202	aqua
537221.3	2355488	aqua
513349.5	2367758	aqua
587674.5	2298342	aqua
519647.8	2391019	aqua
553576.8	2320641	barren
610434.3	2311231	barren
600553.5	2320320	barren
556583.4	2320102	barren
585295.8	2319494	barren
597996.3	2302051	barren
490220	2390967	barren
538481.8	2356391	barren
609623.5	2315161	barren
490999.9	2379647	barren
511665.5	2367994	barren
522315.2	2384943	barren
508735.5	2395738	barren
591285	2332714	barren
554963.9	2323649	barren
609981	2295353	barren
516990.8	2393533	barren
492498.3	2361241	barren
554849.9	2326275	barren
597336.6	2333161	barren
605367.3	2305853	barren
496989.1	2390101	barren
612077.9	2311820	barren
528648.7	2370578	barren
594958.4	2297454	barren
574385.2	2327076	barren
616039.8	2313634	barren
611417.8	2338289	barren
576988.8	2326689	barren
535458.8	2359632	barren
573215.6	2336554	barren
552529.7	2319997	barren
609983.1	2344008	barren
546392.9	2326522	barren
594946.8	2338688	barren
533199.3	2323901	barren
610987.2	2314634	barren
612522.8	2313320	barren
532549.6	2366357	barren
507586.6	2389424	barren
603251.6	2332701	barren
600429	2323653	barren
609614.3	2327571	barren
580884	2354832	barren
607871.3	2307949	barren
604212.4	2332657	barren
490656.9	2364253	barren
538280.6	2353415	barren
599490.1	2295473	barren
518804.3	2356359	barren
589416.2	2342309	barren
539538.4	2336688	barren
612247.4	2332295	barren
525497.3	2368624	barren
523798.2	2362358	barren
584961.3	2310134	barren
614264	2327246	barren
595301.2	2328484	barren
529632.9	2344597	barren
601454.4	2331928	barren
512005.5	2370189	barren
535485.4	2359597	barren
604238.5	2332621	barren
607501.1	2318858	barren
573344.5	2338815	barren
587192.7	2336836	barren
555097	2335572	barren
605814.4	2344752	barren
547805.8	2333417	barren
545891.3	2323137	barren
498745.2	2387709	barren
605609.7	2336392	barren
534756.4	2359677	barren
604984.8	2332265	barren
538654.4	2361730	barren
580441.1	2297659	barren
525186.4	2369301	barren
525203.9	2337508	barren
609359.1	2327527	barren
566749	2316093	barren
632924.3	2334141	barren
610970.9	2310372	barren
519364.1	2338779	barren
521565.8	2324084	barren
517798.3	2353241	crop
620223.9	2342511	crop
632262.9	2327568	crop
526402.7	2365559	crop
526941.6	2362991	crop
535490.8	2364501	crop
532331.4	2342287	crop
539707.3	2359936	crop
510770.6	2357392	crop
577710.8	2325075	crop
532495.4	2339442	crop
624802.1	2333081	crop
509325	2373019	crop
598347.8	2324758	crop
538251.9	2338625	crop
625897.3	2286376	crop
502834.3	2378653	crop
501403.4	2364364	crop
625933.6	2331604	crop
585598.2	2309806	crop
493177.4	2378008	crop
579534.9	2285591	crop
564233	2309130	crop
514373.9	2385947	crop
510245.3	2379347	crop
604615.6	2327616	crop
578557.1	2295835	crop
618891.3	2292274	crop
569682.3	2323574	crop
561038.6	2335863	crop
569280.3	2329991	crop
585409.8	2336737	crop
528928.7	2346256	crop
579886.2	2322570	crop
563659.3	2332977	crop
599219.6	2284565	crop
553543.9	2325310	crop
621810.6	2340519	crop
629290.6	2335869	crop
531262.1	2368742	crop
577006.4	2307876	crop
593231.7	2346174	crop
610032.1	2307827	crop
538954.8	2353587	crop
561053.8	2304548	crop
494043.9	2376811	crop
604459.3	2312676	crop
529320.1	2365634	crop
547011.9	2345505	crop
627949.8	2334065	crop
505319.2	2388564	crop
610340.3	2338471	crop
602572.4	2329891	crop
583324.7	2282667	crop
602154.6	2318488	crop
587746.2	2290947	crop
599469.6	2330708	crop
576908.1	2343066	crop
580739.3	2353653	crop
503416.2	2359107	crop
596600.8	2346394	crop
583969.3	2282281	crop
536972.4	2340558	crop
538835.6	2365445	crop
597347.5	2329111	crop
547434.6	2325314	crop
554484.4	2319083	crop
531919	2366425	crop
505484.1	2390727	crop
605126.3	2303132	crop
591011.4	2306359	crop
537588.4	2363871	crop
507734.4	2391331	crop
525311.8	2334281	crop
592058.3	2293092	crop
554422.6	2338504	crop
574504.8	2338804	crop
523899.1	2363906	crop
580557.7	2303039	crop
570476.8	2324276	crop
606013.8	2314981	crop
576233.1	2343210	crop
606908.9	2308031	crop
493350.7	2363916	crop
618681.1	2332220	crop
587491.1	2344929	crop
539356	2349083	crop
563993.7	2325925	crop
541162.3	2341261	crop
614511.3	2284338	crop
582684.4	2316547	crop
586199.9	2360957	crop
563057.1	2314220	crop
582834.2	2305255	crop
594591.4	2311197	crop
521720.8	2384539	crop
502829.8	2362057	crop
521870.2	2387235	crop
556783.9	2338258	crop
595036.4	2336585	crop
597857	2320647	crop
517158.2	2376804	crop
557731.4	2321727	crop
565702.2	2312512	crop
621455.6	2320132	crop
526533.3	2366866	crop
540736.5	2333597	crop
509776.4	2359687	crop
593504.8	2322364	crop
549038.9	2336349	crop
579955.3	2329650	crop
564994.6	2331783	crop
599238.2	2315628	crop
607410.3	2300109	crop
568439.6	2313267	crop
589220.4	2352535	crop
529762.8	2365969	crop
563385.8	2307973	crop
571694.7	2334716	crop
526274.7	2361023	crop
497348.9	2370840	crop
568175.4	2317208	crop
611263.6	2332711	crop
567499.6	2337792	crop
592302.6	2308388	crop
516433.5	2367871	crop
545456.4	2321306	crop
597963.1	2319308	crop
506564.7	2397265	crop
555592.8	2329002	crop
593580.8	2325653	crop
543823.4	2340710	crop
544362	2322237	crop
526099.9	2360269	crop
558489.3	2309203	crop
529879.5	2364291	crop
546494.9	2348115	crop
603628	2345826	crop
561882.4	2311120	crop
525033.8	2369890	crop
512976.7	2362974	crop
543414.3	2333206	crop
613836.7	2338524	crop
