X, Y, label, Band_1, Band_2, Band_3, Band_4, Band_5, Band_6, Band_7, NDVI, NDWI, 
586843.4, 2289221.0, aqua, 804.5, 1737.0, 496.5, 953.0, 1170.0, 829.0, 493.0, 0.367, -0.291, 
541555.8, 2348926.0, aqua, 815.5, 2705.0, 434.5, 845.5, 2515.0, 2169.0, 1028.0, 0.537, -0.524, 
572462.4, 2340795.0, aqua, 797.5, 2731.5, 480.5, 843.0, 2572.0, 2233.0, 1339.0, 0.548, -0.528, 
514220.8, 2364737.0, aqua, 704.0, 2651.0, 403.0, 769.0, 2564.0, 1800.0, 1020.0, 0.58, -0.55, 
593808.9, 2301731.0, aqua, 765.0, 2363.5, 477.5, 808.5, 2060.5, 1360.0, 1000.0, 0.511, -0.49, 
617026.5, 2330879.0, aqua, 824.0, 2657.0, 490.0, 848.5, 2508.0, 1705.5, 1052.0, 0.527, -0.516, 
630626.4, 2327233.0, aqua, 796.5, 2156.0, 460.5, 815.0, 1932.0, 1354.0, 779.0, 0.46, -0.451, 
610354.1, 2299753.0, aqua, 911.0, 2517.0, 504.5, 859.5, 2328.0, 2027.0, 1195.5, 0.468, -0.491, 
584847.2, 2290381.0, aqua, 886.0, 1728.0, 529.0, 1003.0, 1229.5, 870.0, 476.5, 0.322, -0.265, 
589679.0, 2294072.0, aqua, 867.5, 2274.5, 556.0, 888.0, 2090.5, 1943.5, 1131.5, 0.448, -0.438, 
556696.5, 2324108.0, aqua, 786.0, 2546.5, 426.0, 839.0, 2608.5, 2110.0, 1192.5, 0.528, -0.504, 
606190.8, 2317925.0, aqua, 1148.5, 2663.5, 683.0, 1117.5, 2543.0, 2454.5, 1724.0, 0.397, -0.409, 
596163.6, 2316942.0, aqua, 949.5, 2303.0, 522.0, 877.0, 2216.5, 2028.5, 1451.0, 0.416, -0.448, 
569080.5, 2311060.0, aqua, 874.5, 1939.0, 496.0, 945.0, 1514.5, 1211.0, 590.0, 0.378, -0.345, 
601316.0, 2332043.0, aqua, 1042.5, 2821.0, 598.0, 1071.5, 2822.5, 2350.0, 1931.0, 0.46, -0.449, 
610115.7, 2335523.0, aqua, 927.0, 2672.0, 542.0, 913.0, 2512.0, 1952.5, 1328.0, 0.485, -0.491, 
573579.2, 2280495.0, aqua, 768.0, 1997.0, 447.0, 875.0, 1636.0, 1150.0, 530.0, 0.444, -0.391, 
583067.2, 2294295.0, aqua, 897.0, 1869.0, 544.5, 1028.5, 1341.5, 1054.0, 549.5, 0.351, -0.29, 
618005.4, 2326677.0, aqua, 898.0, 2663.5, 524.0, 943.0, 2262.5, 1638.5, 1078.0, 0.496, -0.477, 
590670.1, 2293381.0, aqua, 846.0, 2389.0, 543.0, 876.0, 2175.0, 1844.0, 1131.0, 0.477, -0.463, 
581459.8, 2294719.0, aqua, 907.5, 2255.0, 555.5, 989.5, 1776.0, 1334.0, 726.0, 0.426, -0.39, 
568484.0, 2300463.0, aqua, 676.5, 2613.0, 421.5, 774.5, 2600.0, 2091.0, 1185.0, 0.589, -0.543, 
625446.1, 2330806.0, aqua, 844.5, 2978.0, 459.0, 912.0, 2649.0, 1809.0, 977.5, 0.558, -0.531, 
530967.6, 2338609.0, aqua, 841.5, 1603.5, 512.5, 863.5, 1766.5, 1275.0, 828.5, 0.312, -0.3, 
628175.6, 2335333.0, aqua, 946.5, 1969.5, 566.5, 1034.0, 1383.5, 1078.0, 624.0, 0.351, -0.311, 
576648.4, 2294373.0, aqua, 881.5, 2338.5, 496.5, 911.0, 2057.5, 1545.0, 838.0, 0.452, -0.439, 
541836.1, 2344017.0, aqua, 810.0, 2478.0, 422.0, 807.0, 2353.0, 1981.0, 1024.0, 0.507, -0.509, 
596180.0, 2291098.0, aqua, 863.0, 2429.0, 526.5, 865.5, 2227.0, 1657.0, 1059.5, 0.476, -0.475, 
609716.8, 2292359.0, aqua, 825.0, 2645.0, 489.0, 882.0, 2463.0, 2078.0, 1330.0, 0.524, -0.5, 
615514.0, 2316667.0, aqua, 900.5, 2475.0, 516.0, 921.0, 2540.0, 1869.0, 1122.5, 0.466, -0.458, 
498829.0, 2382273.0, aqua, 551.0, 2143.0, 360.0, 678.0, 1922.0, 1577.0, 789.0, 0.591, -0.519, 
533111.7, 2355479.0, aqua, 752.0, 2464.0, 421.0, 792.0, 2598.0, 1715.0, 1199.0, 0.532, -0.514, 
589862.0, 2319747.0, aqua, 756.5, 1780.5, 506.5, 785.5, 1816.5, 1435.0, 1365.5, 0.404, -0.388, 
527280.9, 2334998.0, aqua, 743.0, 2346.5, 422.0, 808.5, 1880.5, 1571.0, 834.0, 0.519, -0.487, 
622884.8, 2324445.0, aqua, 856.5, 2845.0, 507.0, 867.5, 2472.5, 2013.5, 1156.5, 0.537, -0.533, 
597194.2, 2348371.0, aqua, 956.0, 2588.5, 529.5, 951.0, 2344.0, 1830.0, 1348.0, 0.461, -0.463, 
571246.9, 2302382.0, aqua, 685.0, 2347.5, 389.5, 760.0, 2186.0, 1642.0, 989.0, 0.548, -0.511, 
599936.0, 2292978.0, aqua, 778.5, 2386.5, 481.0, 856.0, 1762.5, 1293.5, 785.0, 0.508, -0.472, 
565303.1, 2325476.0, aqua, 793.0, 2556.0, 423.5, 815.5, 2416.0, 1908.5, 1062.0, 0.526, -0.516, 
577981.4, 2306415.0, aqua, 741.5, 2731.5, 452.0, 821.0, 2520.0, 2083.0, 1211.0, 0.573, -0.538, 
593429.9, 2333544.0, aqua, 814.0, 2561.0, 485.0, 847.0, 2248.0, 1736.0, 1065.0, 0.518, -0.503, 
629528.6, 2334770.0, aqua, 923.0, 2565.0, 490.0, 914.0, 2648.0, 1956.0, 1265.0, 0.471, -0.475, 
630450.4, 2335579.0, aqua, 1010.5, 2302.0, 610.5, 1030.5, 2136.5, 1753.5, 1137.0, 0.39, -0.382, 
574074.6, 2314656.0, aqua, 807.0, 2723.0, 506.0, 883.0, 2582.0, 2007.0, 1602.0, 0.543, -0.51, 
611220.3, 2323660.0, aqua, 1027.5, 2760.0, 587.0, 948.5, 2781.5, 1979.0, 1350.0, 0.457, -0.488, 
496444.8, 2385912.0, aqua, 615.0, 2305.0, 370.0, 665.0, 2074.0, 1435.0, 788.0, 0.579, -0.552, 
569397.5, 2307427.0, aqua, 860.5, 2577.0, 508.5, 870.0, 2533.5, 1888.5, 1249.0, 0.499, -0.495, 
579867.8, 2290529.0, aqua, 852.0, 2385.0, 520.0, 869.0, 2133.0, 1632.5, 1163.5, 0.474, -0.466, 
587159.9, 2327249.0, aqua, 683.0, 1490.0, 480.0, 712.0, 1680.0, 1611.0, 1303.0, 0.371, -0.353, 
597728.4, 2337827.0, aqua, 1043.5, 2172.0, 598.5, 909.5, 2271.5, 2298.0, 1897.5, 0.351, -0.41, 
588048.7, 2296602.0, aqua, 851.0, 2088.0, 544.0, 890.0, 1909.0, 1498.0, 1046.0, 0.421, -0.402, 
596914.9, 2336017.0, aqua, 840.0, 2599.5, 473.5, 845.0, 2570.5, 2282.0, 1277.5, 0.512, -0.509, 
592998.1, 2309836.0, aqua, 812.0, 2152.5, 476.5, 862.5, 1831.5, 1350.0, 863.5, 0.452, -0.428, 
576710.4, 2294258.0, aqua, 881.5, 2338.5, 496.5, 911.0, 2057.5, 1545.0, 838.0, 0.452, -0.439, 
529131.5, 2337264.0, aqua, 715.0, 1460.0, 432.0, 774.0, 1548.0, 1228.0, 635.0, 0.343, -0.307, 
597024.3, 2309318.0, aqua, 811.0, 2572.0, 492.0, 817.0, 2312.0, 1846.5, 1155.0, 0.521, -0.518, 
576340.3, 2335089.0, aqua, 790.0, 2371.0, 441.5, 844.0, 2558.0, 1716.0, 1123.5, 0.5, -0.475, 
571872.2, 2292860.0, aqua, 773.0, 1972.0, 447.0, 814.0, 1903.0, 1299.5, 796.0, 0.437, -0.416, 
583593.7, 2290836.0, aqua, 935.0, 1719.0, 574.5, 1079.0, 1035.0, 707.0, 416.5, 0.295, -0.229, 
573321.0, 2278670.0, aqua, 911.0, 1989.0, 563.0, 961.0, 1636.0, 1057.0, 541.0, 0.372, -0.348, 
611664.1, 2327167.0, aqua, 897.0, 2351.0, 493.0, 928.0, 2188.0, 1603.0, 924.0, 0.448, -0.434, 
616378.6, 2312422.0, aqua, 1064.0, 2660.0, 628.0, 1022.0, 2492.0, 2093.0, 1362.0, 0.429, -0.445, 
595203.3, 2308932.0, aqua, 877.5, 2378.0, 533.0, 901.0, 2115.0, 1641.0, 1080.5, 0.461, -0.45, 
594300.8, 2328193.0, aqua, 996.0, 2301.5, 604.5, 964.0, 2135.0, 1692.0, 1243.5, 0.396, -0.41, 
519763.9, 2390684.0, aqua, 828.0, 2340.0, 500.0, 837.0, 2033.0, 1471.0, 976.0, 0.477, -0.473, 
584685.6, 2283139.0, aqua, 766.0, 2351.0, 480.0, 826.0, 1929.0, 1679.5, 893.0, 0.509, -0.48, 
528196.4, 2360566.0, aqua, 790.0, 2252.0, 449.0, 794.0, 1862.0, 1449.5, 963.0, 0.481, -0.479, 
