X,Y,label,B1,B2,B3,B4,B5,B6,B7,DEM,NDVI,NDWI
220,234,10,804.5,1737.0,496.5,953.0,1170.0,829.0,493.0,19,0.367,-0.291
126,110,10,815.5,2705.0,434.5,845.5,2515.0,2169.0,1028.0,18,0.537,-0.524
190,127,10,797.5,2731.5,480.5,843.0,2572.0,2233.0,1339.0,16,0.548,-0.528
70,78,10,704.0,2651.0,403.0,769.0,2564.0,1800.0,1020.0,-5,0.58,-0.55
234,208,10,765.0,2363.5,477.5,808.5,2060.5,1360.0,1000.0,12,0.511,-0.49
282,148,10,824.0,2657.0,490.0,848.5,2508.0,1705.5,1052.0,10,0.527,-0.516
310,155,10,796.5,2156.0,460.5,815.0,1932.0,1354.0,779.0,8,0.46,-0.451
268,212,10,911.0,2517.0,504.5,859.5,2328.0,2027.0,1195.5,12,0.468,-0.491
216,231,10,886.0,1728.0,529.0,1003.0,1229.5,870.0,476.5,12,0.322,-0.265
226,224,10,867.5,2274.5,556.0,888.0,2090.5,1943.5,1131.5,7,0.448,-0.438
158,162,10,786.0,2546.5,426.0,839.0,2608.5,2110.0,1192.5,11,0.528,-0.504
260,175,10,1148.5,2663.5,683.0,1117.5,2543.0,2454.5,1724.0,14,0.397,-0.409
239,177,10,949.5,2303.0,522.0,877.0,2216.5,2028.5,1451.0,13,0.416,-0.448
183,189,10,874.5,1939.0,496.0,945.0,1514.5,1211.0,590.0,10,0.378,-0.345
250,145,10,1042.5,2821.0,598.0,1071.5,2822.5,2350.0,1931.0,11,0.46,-0.449
268,138,10,927.0,2672.0,542.0,913.0,2512.0,1952.5,1328.0,8,0.485,-0.491
192,252,10,768.0,1997.0,447.0,875.0,1636.0,1150.0,530.0,11,0.444,-0.391
212,223,10,897.0,1869.0,544.5,1028.5,1341.5,1054.0,549.5,9,0.351,-0.29
284,156,10,898.0,2663.5,524.0,943.0,2262.5,1638.5,1078.0,8,0.496,-0.477
228,225,10,846.0,2389.0,543.0,876.0,2175.0,1844.0,1131.0,7,0.477,-0.463
209,223,10,907.5,2255.0,555.5,989.5,1776.0,1334.0,726.0,10,0.426,-0.39
182,211,10,676.5,2613.0,421.5,774.5,2600.0,2091.0,1185.0,10,0.589,-0.543
300,148,10,844.5,2978.0,459.0,912.0,2649.0,1809.0,977.5,14,0.558,-0.531
104,132,10,841.5,1603.5,512.5,863.5,1766.5,1275.0,828.5,12,0.312,-0.3
305,139,10,946.5,1969.5,566.5,1034.0,1383.5,1078.0,624.0,12,0.351,-0.311
199,223,10,881.5,2338.5,496.5,911.0,2057.5,1545.0,838.0,7,0.452,-0.439
127,121,10,810.0,2478.0,422.0,807.0,2353.0,1981.0,1024.0,13,0.507,-0.509
239,230,10,863.0,2429.0,526.5,865.5,2227.0,1657.0,1059.5,9,0.476,-0.475
267,227,10,825.0,2645.0,489.0,882.0,2463.0,2078.0,1330.0,11,0.524,-0.5
279,177,10,900.5,2475.0,516.0,921.0,2540.0,1869.0,1122.5,7,0.466,-0.458
38,41,10,551.0,2143.0,360.0,678.0,1922.0,1577.0,789.0,18,0.591,-0.519
109,97,10,752.0,2464.0,421.0,792.0,2598.0,1715.0,1199.0,11,0.532,-0.514
226,171,10,756.5,1780.5,506.5,785.5,1816.5,1435.0,1365.5,9,0.404,-0.388
97,139,10,743.0,2346.5,422.0,808.5,1880.5,1571.0,834.0,17,0.519,-0.487
294,161,10,856.5,2845.0,507.0,867.5,2472.5,2013.5,1156.5,10,0.537,-0.533
241,112,10,956.0,2588.5,529.5,951.0,2344.0,1830.0,1348.0,12,0.461,-0.463
188,207,10,685.0,2347.5,389.5,760.0,2186.0,1642.0,989.0,6,0.548,-0.511
247,226,10,778.5,2386.5,481.0,856.0,1762.5,1293.5,785.0,16,0.508,-0.472
175,159,10,793.0,2556.0,423.5,815.5,2416.0,1908.5,1062.0,15,0.526,-0.516
202,198,10,741.5,2731.5,452.0,821.0,2520.0,2083.0,1211.0,6,0.573,-0.538
233,142,10,814.0,2561.0,485.0,847.0,2248.0,1736.0,1065.0,14,0.518,-0.503
308,140,10,923.0,2565.0,490.0,914.0,2648.0,1956.0,1265.0,10,0.471,-0.475
310,138,10,1010.5,2302.0,610.5,1030.5,2136.5,1753.5,1137.0,32,0.39,-0.382
193,181,10,807.0,2723.0,506.0,883.0,2582.0,2007.0,1602.0,12,0.543,-0.51
270,163,10,1027.5,2760.0,587.0,948.5,2781.5,1979.0,1350.0,13,0.457,-0.488
33,34,10,615.0,2305.0,370.0,665.0,2074.0,1435.0,788.0,25,0.579,-0.552
184,196,10,860.5,2577.0,508.5,870.0,2533.5,1888.5,1249.0,8,0.499,-0.495
205,231,10,852.0,2385.0,520.0,869.0,2133.0,1632.5,1163.5,11,0.474,-0.466
221,155,10,683.0,1490.0,480.0,712.0,1680.0,1611.0,1303.0,18,0.371,-0.353
242,133,10,1043.5,2172.0,598.5,909.5,2271.5,2298.0,1897.5,11,0.351,-0.41
222,219,10,851.0,2088.0,544.0,890.0,1909.0,1498.0,1046.0,8,0.421,-0.402
241,137,10,840.0,2599.5,473.5,845.0,2570.5,2282.0,1277.5,19,0.512,-0.509
233,191,10,812.0,2152.5,476.5,862.5,1831.5,1350.0,863.5,12,0.452,-0.428
199,223,10,881.5,2338.5,496.5,911.0,2057.5,1545.0,838.0,8,0.452,-0.439
101,135,10,715.0,1460.0,432.0,774.0,1548.0,1228.0,635.0,21,0.343,-0.307
241,192,10,811.0,2572.0,492.0,817.0,2312.0,1846.5,1155.0,9,0.521,-0.518
198,139,10,790.0,2371.0,441.5,844.0,2558.0,1716.0,1123.5,11,0.5,-0.475
189,226,10,773.0,1972.0,447.0,814.0,1903.0,1299.5,796.0,13,0.437,-0.416
213,231,10,935.0,1719.0,574.5,1079.0,1035.0,707.0,416.5,6,0.295,-0.229
192,256,10,911.0,1989.0,563.0,961.0,1636.0,1057.0,541.0,16,0.372,-0.348
271,155,10,897.0,2351.0,493.0,928.0,2188.0,1603.0,924.0,12,0.448,-0.434
281,186,10,1064.0,2660.0,628.0,1022.0,2492.0,2093.0,1362.0,7,0.429,-0.445
237,193,10,877.5,2378.0,533.0,901.0,2115.0,1641.0,1080.5,10,0.461,-0.45
235,153,10,996.0,2301.5,604.5,964.0,2135.0,1692.0,1243.5,13,0.396,-0.41
81,24,10,828.0,2340.0,500.0,837.0,2033.0,1471.0,976.0,19,0.477,-0.473
215,246,10,766.0,2351.0,480.0,826.0,1929.0,1679.5,893.0,9,0.509,-0.48
99,86,10,790.0,2252.0,449.0,794.0,1862.0,1449.5,963.0,17,0.481,-0.479
172,152,10,773.0,2874.0,433.0,814.0,2688.0,2096.0,1420.0,16,0.576,-0.559
131,116,10,763.0,2616.5,422.5,795.5,2487.5,1761.0,1145.0,12,0.548,-0.534
300,125,10,1061.5,2204.0,591.5,1058.5,2040.5,1753.5,1092.5,9,0.35,-0.351
199,107,10,800.0,2433.5,436.5,838.5,2425.5,1891.0,1060.5,10,0.505,-0.487
64,75,10,728.0,2166.0,398.0,791.0,1887.0,1302.0,784.0,18,0.497,-0.465
170,175,10,811.0,2598.0,479.0,887.0,2391.0,1734.0,1118.0,9,0.524,-0.491
221,211,10,891.0,2318.0,528.0,889.0,1984.0,1638.0,999.0,7,0.445,-0.446
286,121,10,882.0,3098.0,525.0,935.0,2795.0,2053.5,1132.0,5,0.557,-0.536
296,156,10,747.0,2595.5,455.0,832.0,2397.0,1681.0,1036.0,11,0.553,-0.515
158,138,10,804.5,2636.0,447.5,828.5,2423.5,1904.5,1159.5,12,0.532,-0.522
270,229,10,833.0,2850.0,458.5,847.5,2658.5,2043.0,1001.0,9,0.548,-0.542
235,205,10,760.5,2371.0,487.0,835.0,1821.5,1192.0,700.5,11,0.514,-0.479
208,160,10,1068.5,1989.5,644.0,979.0,1786.0,1673.0,1402.0,11,0.301,-0.34
230,185,10,654.0,1917.0,431.0,742.0,1873.0,1478.0,1052.0,19,0.491,-0.442
193,218,10,836.0,2668.0,503.0,828.0,2479.0,1845.0,1063.0,6,0.523,-0.526
243,179,10,713.0,2439.0,429.0,786.0,2172.0,1539.0,891.0,11,0.548,-0.513
211,138,10,925.0,2434.0,520.0,936.0,2276.0,1518.0,992.0,20,0.449,-0.445
219,200,10,843.5,2378.5,501.5,903.5,2282.0,1865.0,861.5,9,0.476,-0.449
108,96,10,761.0,2244.5,431.0,762.5,1944.5,1847.0,1003.5,19,0.494,-0.493
302,163,10,842.0,3102.0,480.0,867.0,2630.0,2106.0,1121.0,8,0.573,-0.563
97,146,10,535.0,2653.5,323.0,654.0,2167.5,2058.0,672.0,37,0.664,-0.605
200,210,10,759.5,2322.5,484.0,819.0,2195.0,1730.0,1220.5,6,0.507,-0.479
241,210,10,683.0,2858.0,420.0,789.0,2511.0,1368.0,1022.0,12,0.614,-0.567
